Geneid;Length;CBB;DZX;GCY;YXH;XCY;XZY;Control_ZCY;Control_ZJC;Control_QZY
ENSG00000218069;493;0;0;0;0;0;0;0;0;1
ENSG00000213916;632;0;0;0;0;0;0;0;0;0
ENSG00000236336;369;2;0;2;0;1;0;0;0;0
ENSG00000270937;732;0;0;0;0;0;0;0;0;0
ENSG00000216915;1495;6;0;3;0;0;3;0;4;0
ENSG00000269985;1333;12;11;8;15;14;11;4;2;2
ENSG00000260604;7060;3;3;4;12;4;13;6;6;0
ENSG00000237154;300;2;1;1;1;2;2;1;5;0
ENSG00000272142;4662;50;64;56;73;79;81;98;97;46
ENSG00000219738;572;0;0;0;0;0;0;0;0;0
ENSG00000270666;236;1;0;1;0;4;2;0;0;0
ENSG00000112763;3787;660;583;583;599;582;693;695;603;564
ENSG00000230598;1883;0;0;0;0;0;0;0;0;0
ENSG00000217746;893;1;1;1;1;0;0;1;0;0
ENSG00000219262;494;0;0;0;0;0;0;0;0;0
ENSG00000275846;3929;5;3;1;5;8;3;1;4;1
ENSG00000223342;933;0;0;0;0;0;0;0;0;0
ENSG00000203492;1652;0;0;0;0;0;0;1;0;0
ENSG00000219770;868;0;0;4;0;0;0;0;1;0
ENSG00000216436;331;0;0;0;1;0;0;0;0;0
ENSG00000095951;11005;1154;587;538;629;605;648;438;493;240
ENSG00000219682;1401;4;5;3;11;0;2;8;22;4
ENSG00000174572;670;0;2;1;0;0;1;0;0;0
ENSG00000287674;585;0;0;0;0;0;0;0;0;0
ENSG00000271108;517;3;2;2;1;1;0;0;0;0
ENSG00000198704;2018;0;4;0;2;0;0;2;6;2
ENSG00000220581;876;0;0;1;0;0;0;0;0;0
ENSG00000189298;4804;321;233;286;248;283;295;227;232;230
ENSG00000228666;1331;0;0;0;1;0;0;1;2;0
ENSG00000285703;524;5;2;9;1;10;4;1;7;0
ENSG00000230433;851;2;5;3;1;5;5;4;2;1
ENSG00000228078;186;10;2;0;10;9;3;7;7;11
ENSG00000229646;146;1;2;1;0;0;0;0;1;1
ENSG00000285571;1114;81;73;37;35;41;60;2;6;0
ENSG00000235559;372;0;0;0;0;0;0;0;1;0
ENSG00000228772;743;0;0;0;1;1;0;0;1;1
ENSG00000230521;975;28;14;14;14;16;11;29;12;6
ENSG00000178762;310;0;0;0;0;0;0;0;0;0
ENSG00000261211;3325;30;27;65;45;30;31;31;44;20
ENSG00000145990;10686;36;50;43;76;43;55;128;151;45
ENSG00000230795;1046;55;60;36;31;70;61;45;86;34
ENSG00000280107;1677;15;14;27;17;14;12;9;13;3
ENSG00000152954;4122;5;1;0;0;1;1;2;7;1
ENSG00000237346;803;1;0;0;0;1;1;3;0;0
ENSG00000274212;234;0;0;0;0;0;0;0;0;0
ENSG00000242524;960;0;0;0;0;0;0;0;0;1
ENSG00000225595;3098;4;7;17;17;1;12;8;11;6
ENSG00000220685;1188;6;2;9;5;6;4;1;1;6
ENSG00000285424;3989;1;1;2;3;1;2;4;2;2
ENSG00000008083;6244;1276;1361;1206;1622;882;1154;2161;3088;939
ENSG00000217030;423;4;1;3;0;0;0;0;0;0
ENSG00000217862;265;0;0;0;0;2;0;0;1;0
ENSG00000276180;1294;34;40;25;54;47;42;57;54;62
ENSG00000287002;123;4;2;7;5;5;4;4;14;0
ENSG00000197977;3988;1576;1976;2116;2039;2223;2015;2300;1881;1357
ENSG00000124782;17254;2637;1638;2810;2050;2517;2289;2251;2448;870
ENSG00000197171;3544;3;4;0;2;0;2;8;0;1
ENSG00000226314;2547;101;47;91;68;58;73;56;37;11
ENSG00000220868;572;0;0;0;0;0;0;2;0;0
ENSG00000280128;3706;681;546;507;374;558;564;145;125;132
ENSG00000217083;465;0;0;0;0;0;0;0;0;0
ENSG00000224233;936;0;0;0;0;0;0;0;0;0
ENSG00000243307;1826;41;31;16;20;8;27;11;9;3
ENSG00000227206;389;0;0;0;0;0;2;0;0;0
ENSG00000272312;441;7;3;6;3;0;2;2;0;1
ENSG00000284656;3727;0;1;0;4;0;1;4;7;0
ENSG00000204713;7985;1681;1536;1313;1458;1588;1611;1724;1998;1862
ENSG00000216863;11806;14;13;15;25;2;9;21;54;15
ENSG00000217805;387;1;0;0;2;0;0;0;0;0
ENSG00000220446;359;3;1;5;2;3;2;0;0;0
ENSG00000204623;17538;455;349;427;386;468;484;225;163;67
ENSG00000218472;371;0;0;0;0;0;0;0;0;0
ENSG00000285603;808;2;0;2;2;2;0;0;0;0
ENSG00000218574;969;1;0;2;2;1;0;0;3;0
ENSG00000227262;991;2;8;5;2;9;8;10;12;2
ENSG00000287252;2751;28;33;85;24;35;54;29;36;23
ENSG00000277661;876;1;2;1;1;0;5;3;5;2
ENSG00000187626;5346;178;161;189;219;201;240;267;231;264
ENSG00000233366;1075;0;0;0;0;0;0;0;1;1
ENSG00000220758;875;0;0;0;0;0;0;0;0;0
ENSG00000285849;1591;2;2;1;1;1;5;1;0;0
ENSG00000218347;944;2;0;0;0;2;0;0;0;0
ENSG00000189134;1662;66;45;54;67;52;68;100;68;85
ENSG00000224372;135;0;0;1;0;0;0;0;0;0
ENSG00000236909;776;0;0;0;0;0;0;0;0;0
ENSG00000233981;386;1;1;1;1;0;3;9;4;1
ENSG00000285219;48395;112;77;136;116;56;87;104;131;74
ENSG00000235963;328;5;8;0;4;5;3;3;6;0
ENSG00000279368;1837;9;5;31;24;8;17;9;9;2
ENSG00000232040;8161;289;211;236;243;231;242;189;133;120
ENSG00000244349;317;9;13;20;11;20;6;21;16;14
ENSG00000078401;2035;92;60;104;90;46;59;161;83;76
ENSG00000184612;754;1;3;1;0;0;3;0;2;0
ENSG00000278332;194;1;0;0;0;0;1;0;0;0
ENSG00000285694;1805;1;6;1;3;1;2;4;16;0
ENSG00000224586;2049;0;2;2;4;0;0;1;0;0
ENSG00000228364;596;0;2;0;2;2;2;0;0;1
ENSG00000271071;1207;4;3;2;2;4;5;0;1;0
ENSG00000168405;8477;114;64;99;67;37;86;64;39;46
ENSG00000236405;1169;0;0;1;0;0;0;0;0;0
ENSG00000224707;400;1;1;0;1;1;0;0;0;0
ENSG00000228793;15457;3;14;15;23;9;12;44;60;28
ENSG00000224531;4887;417;343;292;328;370;387;276;277;300
ENSG00000204703;1106;0;0;0;0;0;1;0;1;0
ENSG00000204599;4226;210;230;186;222;183;207;352;429;299
ENSG00000204625;700;1;2;3;5;1;6;2;0;0
ENSG00000238076;636;1;0;0;0;0;0;0;0;0
ENSG00000112183;3425;42;44;35;60;6;26;94;173;40
ENSG00000261584;1724;0;1;0;4;0;1;0;0;1
ENSG00000214012;1282;0;0;0;0;0;0;0;0;0
ENSG00000229390;813;5;3;3;4;11;1;13;0;0
ENSG00000185130;488;1;0;0;3;1;1;0;0;0
ENSG00000225092;1676;17;15;15;10;15;10;2;12;2
ENSG00000217414;2007;1;0;1;0;0;0;0;0;0
ENSG00000285216;866;0;0;1;0;0;0;0;0;0
ENSG00000124783;11349;2233;2287;2400;2040;2279;2431;2209;2375;2274
ENSG00000137273;2451;17;16;10;29;3;15;51;63;25
ENSG00000234261;3654;1;2;0;2;0;2;4;1;0
ENSG00000216901;487;17;1;10;3;2;5;2;0;8
ENSG00000216718;493;0;0;0;0;0;1;0;0;0
ENSG00000246350;2874;6;4;1;1;1;1;0;6;0
ENSG00000286281;2977;6;4;11;5;6;3;9;8;13
ENSG00000287804;987;0;0;4;0;0;1;1;6;3
ENSG00000206341;1096;182;106;248;166;60;378;193;109;42
ENSG00000281831;1889;0;6;4;3;4;8;4;1;4
ENSG00000218027;1592;4;8;3;3;6;0;1;0;2
ENSG00000225173;709;3;0;0;0;0;0;2;1;0
ENSG00000287483;1991;1;3;2;2;0;0;1;3;3
ENSG00000217314;385;0;0;0;0;0;0;1;0;0
ENSG00000238024;258;4;0;3;4;2;3;3;0;0
ENSG00000187987;3283;140;74;92;89;130;103;75;41;19
ENSG00000124766;4869;1715;2548;3434;3408;3059;3348;5006;4753;2613
ENSG00000231074;17631;1721;1014;1288;1178;1582;1338;510;516;393
ENSG00000260239;2982;2;0;2;5;2;3;5;13;0
ENSG00000229765;482;0;0;0;0;0;0;0;0;0
ENSG00000213911;931;0;0;1;1;0;0;1;1;0
ENSG00000224486;634;0;0;0;1;0;0;0;0;0
ENSG00000236475;753;10;3;8;7;4;5;1;2;1
ENSG00000286954;3196;1;1;1;3;0;4;6;0;0
ENSG00000218359;272;0;0;3;5;0;0;3;4;0
ENSG00000145996;4602;332;387;416;421;373;409;517;572;459
ENSG00000237669;996;5;9;5;10;2;3;2;3;2
ENSG00000231056;256;10;8;4;18;0;1;6;18;2
ENSG00000146038;5004;25;9;8;14;1;5;11;13;5
ENSG00000196747;503;0;0;1;1;2;0;8;1;3
ENSG00000172201;3873;193;152;110;211;16;84;470;1035;227
ENSG00000274541;303;5;3;4;7;9;8;4;1;0
ENSG00000287279;3912;4;6;10;2;3;2;2;3;1
ENSG00000206503;2710;2147;2543;4376;2915;2448;7653;8447;5221;7087
ENSG00000248167;1698;0;2;0;1;0;0;0;0;0
ENSG00000230570;1203;2;0;2;0;1;3;2;0;0
ENSG00000112242;5190;269;152;131;136;131;202;150;247;165
ENSG00000285799;3405;80;51;34;38;53;44;40;22;25
ENSG00000220771;256;0;1;2;4;2;3;4;1;0
ENSG00000137177;11138;814;1052;898;981;1082;1158;1000;1174;555
ENSG00000227214;1032;27;18;37;18;22;24;31;28;22
ENSG00000235488;455;2;0;6;4;4;7;4;5;2
ENSG00000285278;3427;14;16;12;12;9;18;33;50;18
ENSG00000271911;2055;4;0;1;1;3;2;4;0;3
ENSG00000153157;3962;57;44;70;69;43;54;46;81;27
ENSG00000287347;1329;0;0;0;0;0;0;0;0;0
ENSG00000218976;1314;1;1;1;0;1;0;0;2;0
ENSG00000227803;380;1;1;0;2;0;2;0;2;0
ENSG00000235040;832;0;1;0;0;0;0;0;0;0
ENSG00000229142;980;0;1;0;0;0;0;0;0;0
ENSG00000286631;821;4;1;3;6;0;2;6;20;1
ENSG00000137364;3184;314;308;244;276;352;236;285;324;347
ENSG00000217585;972;0;0;0;1;0;0;0;1;0
ENSG00000112812;5290;38;39;75;40;3;18;99;90;36
ENSG00000230314;2557;37;48;35;51;47;39;76;128;29
ENSG00000219582;610;0;0;0;0;0;0;0;0;0
ENSG00000243753;5505;41;26;34;31;40;32;4;2;1
ENSG00000237685;1475;1;4;2;5;1;1;2;7;0
ENSG00000229700;486;0;0;1;1;0;0;0;0;0
ENSG00000164304;3511;6;7;13;3;4;7;2;6;1
ENSG00000145949;6015;147;173;161;212;150;188;182;120;144
ENSG00000278102;192;0;0;0;0;0;0;0;0;0
ENSG00000161904;6782;886;786;818;801;872;933;987;1110;964
ENSG00000054598;3983;130;95;94;121;77;137;173;297;173
ENSG00000282804;654;0;0;0;0;0;0;0;0;0
ENSG00000278828;1237;4;5;9;7;11;23;16;19;17
ENSG00000286885;2811;6;17;11;7;1;5;11;21;2
ENSG00000224312;335;5;2;3;1;2;4;0;2;1
ENSG00000137168;1589;705;506;573;454;371;470;676;758;880
ENSG00000229950;1692;2;2;1;5;0;4;1;18;2
ENSG00000244476;3235;6;7;6;11;15;6;11;6;6
ENSG00000187566;2238;70;60;91;52;82;68;106;109;118
ENSG00000236355;400;0;0;0;0;0;1;0;0;1
ENSG00000272279;548;9;5;3;1;4;2;5;17;6
ENSG00000216781;675;0;0;0;0;0;0;0;0;0
ENSG00000153046;4562;1043;540;799;645;560;605;1124;917;1176
ENSG00000218893;140;0;0;0;0;0;0;0;0;0
ENSG00000124615;5174;249;143;193;147;107;188;277;290;259
ENSG00000231162;835;0;0;0;1;0;0;0;0;0
ENSG00000233358;871;1;0;0;0;1;0;2;0;0
ENSG00000225832;332;0;0;0;3;0;2;0;0;0
ENSG00000220556;383;0;0;0;0;0;0;0;0;0
ENSG00000285801;919;1;0;0;2;0;0;0;7;0
ENSG00000285639;2621;10;2;5;1;7;3;2;2;2
ENSG00000124602;3156;28;35;50;12;17;25;20;21;8
ENSG00000112212;1075;5;1;14;2;7;4;2;1;0
ENSG00000197251;2107;9;1;4;4;2;0;2;9;3
ENSG00000218016;1383;0;1;0;0;2;1;2;0;1
ENSG00000280443;202;1;1;0;0;0;0;0;0;0
ENSG00000124493;16302;19;29;22;41;6;20;68;103;16
ENSG00000287559;3543;5;2;2;3;1;1;2;10;1
ENSG00000172197;4325;86;64;54;71;42;144;101;173;89
ENSG00000203498;690;1;0;0;0;0;1;0;0;0
ENSG00000007944;3072;849;431;722;462;579;593;748;582;1015
ENSG00000234127;4377;1537;1132;1192;1231;1084;1283;1695;2029;1430
ENSG00000156639;3808;2343;1765;2207;2220;1525;1683;3612;4186;3215
ENSG00000272485;2436;4;3;1;2;5;3;1;1;0
ENSG00000229274;1175;0;0;0;0;0;0;0;0;0
ENSG00000215124;1345;7;0;2;3;2;2;2;0;1
ENSG00000271755;2955;8;12;15;12;11;16;3;12;12
ENSG00000231276;1133;0;0;0;0;1;0;0;0;0
ENSG00000168477;15909;2416;2067;3004;1908;2808;2260;1373;2069;356
ENSG00000287404;500;0;0;0;2;0;1;0;2;1
ENSG00000065060;9908;1088;664;844;812;672;805;822;674;447
ENSG00000220586;1708;1;1;0;0;0;0;5;12;3
ENSG00000124721;15348;30;35;19;37;5;30;28;65;7
ENSG00000186577;1866;192;207;261;165;191;204;458;333;485
ENSG00000271440;214;0;0;0;0;0;0;0;1;0
ENSG00000124784;2940;305;387;396;470;310;443;590;722;515
ENSG00000228478;539;0;2;0;0;0;0;1;6;1
ENSG00000124772;5772;4122;2889;3219;2998;3603;2857;3017;2927;2073
ENSG00000164530;2305;315;10;109;13;7;21;37;17;23
ENSG00000112164;6682;1;2;7;2;2;1;5;5;2
ENSG00000112186;3346;32;60;62;44;28;63;108;82;61
ENSG00000272288;782;20;17;16;15;18;16;41;15;32
ENSG00000096433;9870;9057;4721;4967;4549;4590;4300;6392;8538;3601
ENSG00000111859;10359;2713;2223;2092;2475;1555;1944;3924;2755;2450
ENSG00000096063;6692;440;1032;709;1091;1124;1104;873;785;760
ENSG00000219273;1790;0;0;0;0;0;0;0;0;0
ENSG00000284823;1354;5;15;7;20;1;3;17;41;13
ENSG00000249346;5055;0;0;1;2;0;1;2;3;0
ENSG00000229391;1326;1;0;1;1;10;1;21;61;0
ENSG00000176933;992;4;3;4;2;3;10;7;7;3
ENSG00000247925;704;6;10;5;7;8;4;5;2;1
ENSG00000233848;614;1;1;1;2;1;2;2;0;0
ENSG00000198502;1250;18;58;288;282;18;437;58;324;83
ENSG00000124574;8087;1107;790;719;656;753;826;543;675;412
ENSG00000285771;1185;12;9;21;5;9;12;14;17;27
ENSG00000112053;6034;5;16;6;10;13;15;9;18;3
ENSG00000278736;382;0;0;0;0;0;0;0;0;0
ENSG00000270695;287;0;0;0;0;0;0;0;0;0
ENSG00000205653;2120;1;0;0;0;0;0;0;0;0
ENSG00000271530;331;0;0;0;0;0;0;0;0;0
ENSG00000196301;343;3;1;0;4;0;6;0;3;1
ENSG00000270800;5231;0;0;1;0;0;3;0;0;0
ENSG00000217165;2632;50;58;71;73;64;41;100;138;64
ENSG00000287055;1628;6;7;6;3;4;5;9;5;3
ENSG00000225339;8386;16;7;20;14;13;11;9;7;2
ENSG00000212802;615;50;65;66;42;53;57;71;87;228
ENSG00000218521;482;0;0;1;3;0;0;0;0;0
ENSG00000255587;4259;19;13;13;7;7;8;1;9;0
ENSG00000112078;6239;1535;1440;1483;1398;1557;1717;1549;1621;2126
ENSG00000179344;4904;86;52;257;164;22;225;36;106;231
ENSG00000232080;1017;0;6;0;1;0;0;0;0;1
ENSG00000225102;432;1;0;0;1;0;0;0;0;0
ENSG00000231150;1213;0;0;0;3;0;1;2;9;0
ENSG00000096395;558;0;0;0;1;1;0;0;4;1
ENSG00000171467;9728;943;896;917;1229;891;933;966;1508;518
ENSG00000272269;1088;1;3;5;5;2;3;5;1;7
ENSG00000137288;4689;469;328;326;312;227;250;341;374;418
ENSG00000249379;1364;3;6;5;11;10;7;2;1;1
ENSG00000224157;413;7;0;3;5;4;7;6;1;4
ENSG00000226070;824;0;0;0;0;0;1;0;0;0
ENSG00000272442;3513;6;16;10;5;8;9;2;7;0
ENSG00000274844;349;0;0;0;0;0;0;0;0;0
ENSG00000227089;386;0;0;0;0;0;0;0;0;0
ENSG00000286723;811;6;1;8;11;7;3;0;3;0
ENSG00000220643;280;1;1;4;4;4;3;2;0;0
ENSG00000146122;12955;2030;408;499;477;364;478;695;950;506
ENSG00000287137;651;0;0;0;0;0;0;0;0;1
ENSG00000277769;1240;2;0;1;0;2;0;1;0;0
ENSG00000196284;5255;279;317;254;296;260;271;338;330;302
ENSG00000146085;3811;1220;898;1116;1009;958;988;953;964;902
ENSG00000272168;34302;52;80;51;105;49;81;85;69;39
ENSG00000065308;7047;1534;987;1682;1036;1397;1269;1641;1445;1133
ENSG00000225945;419;6;7;2;6;3;5;16;19;5
ENSG00000287266;588;0;0;0;0;0;0;0;0;0
ENSG00000220483;871;0;0;0;0;0;1;0;2;0
ENSG00000226030;356;0;0;0;0;0;0;0;0;0
ENSG00000230204;545;1;0;0;0;0;0;0;0;1
ENSG00000287920;4243;3;3;4;4;14;3;1;4;0
ENSG00000271338;685;0;0;0;0;0;0;0;0;0
ENSG00000226454;1342;2;2;2;3;2;1;0;1;0
ENSG00000234540;405;0;0;0;0;1;0;0;0;0
ENSG00000216687;1415;4;1;5;0;3;0;2;1;0
ENSG00000218520;1024;0;0;0;0;0;0;0;0;0
ENSG00000112079;3585;431;433;342;451;373;384;305;311;449
ENSG00000237530;1822;0;1;0;1;0;2;0;2;0
ENSG00000288088;2609;5;0;3;1;0;1;2;0;0
ENSG00000180211;420;0;1;0;0;0;0;0;0;1
ENSG00000172738;3350;60;23;71;24;36;24;67;43;40
ENSG00000286680;570;0;0;0;0;0;0;0;0;1
ENSG00000183826;9537;1055;949;1192;1034;1338;1182;894;1196;793
ENSG00000204188;1737;13;9;4;8;2;4;10;17;2
ENSG00000232598;497;0;1;0;0;0;0;0;1;0
ENSG00000187762;310;14;3;9;6;7;2;0;2;0
ENSG00000186328;328;1;0;0;0;0;2;2;0;0
ENSG00000228689;2211;0;0;0;0;0;0;1;0;0
ENSG00000170950;1626;0;0;0;0;0;0;0;6;0
ENSG00000233859;1110;2;2;5;2;2;5;2;2;4
ENSG00000276290;1283;0;0;0;2;0;0;0;0;0
ENSG00000225121;548;0;0;0;0;0;0;0;0;0
ENSG00000112149;2384;181;135;143;152;145;182;238;243;345
ENSG00000196126;1229;396;265;567;460;242;596;300;725;929
ENSG00000137392;601;0;2;0;0;0;0;0;0;1
ENSG00000216775;3821;1074;1513;2360;2290;2654;2188;2392;1706;2136
ENSG00000271373;286;0;0;0;0;0;0;0;0;0
ENSG00000216365;287;0;0;0;0;0;0;0;0;0
ENSG00000271362;242;0;0;0;0;0;0;0;0;0
ENSG00000271162;712;0;0;0;0;0;0;0;0;0
ENSG00000278745;163;0;0;0;0;0;0;0;0;0
ENSG00000271761;540;1;4;6;1;4;4;5;1;1
ENSG00000065491;3462;697;496;582;515;430;441;710;1065;731
ENSG00000012660;3813;4153;2878;2504;2574;2760;2735;3399;2847;2762
ENSG00000286417;691;2;3;3;1;1;4;3;3;0
ENSG00000164626;3783;16;39;14;33;11;34;80;136;37
ENSG00000230597;352;0;0;0;0;0;1;0;0;0
ENSG00000220076;123;0;0;0;0;0;0;0;0;0
ENSG00000146221;3086;11;26;4;22;7;16;21;35;12
ENSG00000223504;492;0;1;0;0;0;0;0;0;0
ENSG00000137309;2327;486;1317;633;1603;103;574;4583;6582;2111
ENSG00000287380;1522;0;0;0;0;0;0;0;0;0
ENSG00000271304;891;0;1;0;2;2;0;0;1;0
ENSG00000271328;288;0;0;0;0;1;0;0;0;0
ENSG00000286105;976;0;0;0;0;0;0;0;0;0
ENSG00000112130;6564;1227;593;1069;603;798;746;1118;1005;963
ENSG00000270306;568;0;0;0;0;0;0;0;0;0
ENSG00000271227;338;0;1;0;2;4;1;0;1;0
ENSG00000204697;879;0;0;0;1;0;0;0;0;0
ENSG00000279022;443;19;16;9;9;12;12;2;4;0
ENSG00000270900;585;2;1;1;5;4;1;0;0;0
ENSG00000031691;1741;81;109;132;93;106;131;73;101;97
ENSG00000231769;1979;18;3;4;6;13;3;4;6;4
ENSG00000124813;8192;28;18;18;25;13;18;29;27;22
ENSG00000161896;2793;1;1;5;5;2;4;1;11;2
ENSG00000231533;11829;4;5;30;11;16;9;3;3;2
ENSG00000230472;826;0;0;0;0;0;0;0;0;0
ENSG00000218337;340;0;0;0;0;0;0;0;0;0
ENSG00000196748;611;0;2;0;0;0;0;3;2;0
ENSG00000146243;7463;481;383;423;469;424;383;403;401;351
ENSG00000218890;1479;1;0;1;0;0;1;2;1;1
ENSG00000235357;1473;3;0;0;2;0;0;0;2;1
ENSG00000112624;6843;1078;997;1111;1143;1370;1310;1036;1114;633
ENSG00000233835;325;0;0;0;0;0;0;0;0;0
ENSG00000214561;1289;1;0;3;5;1;0;0;1;0
ENSG00000124678;3069;40;45;36;57;10;23;130;152;64
ENSG00000188056;2697;0;0;0;0;0;0;0;0;1
ENSG00000030110;2212;449;247;286;233;245;266;331;426;609
ENSG00000112309;6587;31;55;40;61;7;40;62;44;20
ENSG00000218748;260;0;0;0;0;0;0;0;0;0
ENSG00000219384;642;2;3;2;2;6;2;1;1;3
ENSG00000112167;2923;297;289;286;280;312;251;478;504;624
ENSG00000171462;2236;14;28;22;18;19;20;11;24;9
ENSG00000096401;6241;1123;885;1096;973;947;1003;1085;905;987
ENSG00000161911;1483;4;1;1;0;1;0;1;0;1
ENSG00000220349;937;1;1;3;2;3;1;0;2;0
ENSG00000236345;1454;2;3;1;2;0;0;0;9;0
ENSG00000280511;627;1;0;2;0;0;0;0;0;0
ENSG00000137221;6741;1204;978;1058;824;886;970;909;952;748
ENSG00000235743;581;0;0;0;1;0;1;1;0;1
ENSG00000272316;5352;127;152;178;218;230;207;69;73;39
ENSG00000124490;1518;6;5;4;16;0;3;12;20;8
ENSG00000219702;293;2;1;0;0;0;0;0;0;0
ENSG00000220030;414;0;0;0;0;0;0;0;0;0
ENSG00000287745;360;0;0;0;0;0;0;3;0;0
ENSG00000287816;1623;0;1;1;0;0;0;0;2;1
ENSG00000226803;4918;79;53;66;62;80;80;30;34;22
ENSG00000285888;1644;106;94;75;87;117;80;57;8;12
ENSG00000275046;163;0;0;4;0;0;1;0;1;0
ENSG00000279076;1705;0;0;0;0;0;0;0;0;0
ENSG00000220091;294;2;0;0;0;1;0;0;0;0
ENSG00000170927;17443;10;12;14;32;4;10;13;44;8
ENSG00000219653;329;0;0;0;0;0;0;0;0;0
ENSG00000214641;389;0;0;0;0;0;0;0;0;0
ENSG00000214558;2436;4;3;7;5;3;4;3;5;1
ENSG00000146166;5829;27;2;0;10;1;3;0;1;4
ENSG00000236635;1415;1;1;1;0;0;1;0;0;0
ENSG00000112759;4298;855;487;754;441;457;592;584;624;657
ENSG00000232702;457;2;0;2;1;1;0;1;0;0
ENSG00000220212;938;0;0;0;0;0;0;0;0;0
ENSG00000276127;1231;0;2;1;0;0;1;0;0;3
ENSG00000154079;1440;141;123;167;140;123;147;146;202;339
ENSG00000079841;12788;16;41;18;58;13;26;41;86;25
ENSG00000146147;7293;5;8;3;1;1;2;10;10;7
ENSG00000219604;138;0;0;0;0;0;0;0;0;0
ENSG00000217527;404;13;9;7;11;8;3;6;3;0
ENSG00000220154;323;2;2;0;1;0;0;0;1;1
ENSG00000287939;1567;0;0;0;0;0;0;1;1;0
ENSG00000226533;560;16;19;21;17;23;14;6;3;3
ENSG00000225791;8603;198;197;207;182;164;180;311;360;248
ENSG00000146247;14718;3107;2963;3551;3571;3968;4218;1780;1702;1554
ENSG00000274867;579;0;0;0;0;0;0;0;0;0
ENSG00000157593;2363;788;850;762;651;769;798;1175;1659;1290
ENSG00000271857;927;0;0;0;0;0;0;0;0;1
ENSG00000276156;239;0;0;1;0;1;0;0;0;0
ENSG00000275550;159;1;2;7;6;7;6;4;0;0
ENSG00000285838;2872;3;4;7;1;0;1;0;4;5
ENSG00000219253;553;0;0;0;0;0;0;0;0;0
ENSG00000279790;1770;0;1;0;0;0;0;0;3;1
ENSG00000287678;908;7;3;2;6;4;1;8;4;0
ENSG00000233967;6270;133;167;99;136;169;150;24;27;11
ENSG00000272541;578;3;18;23;7;12;22;7;10;4
ENSG00000065615;9621;149;160;171;184;157;149;226;185;154
ENSG00000224995;520;0;0;0;0;0;0;0;0;0
ENSG00000285963;1959;0;0;0;0;0;0;0;0;0
ENSG00000065833;3338;656;546;489;536;419;418;492;558;621
ENSG00000272008;4127;72;60;72;75;75;109;18;23;12
ENSG00000146143;5652;131;161;178;189;157;172;297;373;312
ENSG00000124664;1914;11;7;6;5;3;1;12;13;10
ENSG00000279127;2077;0;0;1;0;0;0;0;1;0
ENSG00000156564;3164;24;20;17;25;4;15;36;18;17
ENSG00000218363;903;0;0;0;0;0;0;0;0;0
ENSG00000279616;1775;9;12;18;12;16;10;2;1;0
ENSG00000270521;586;0;0;0;0;0;0;0;0;1
ENSG00000224605;442;0;0;0;0;0;0;0;0;0
ENSG00000184486;4885;9;22;11;30;1;6;32;17;17
ENSG00000227215;480;0;2;0;0;0;2;1;2;2
ENSG00000286564;2132;0;0;0;0;0;0;0;0;1
ENSG00000218713;2100;0;1;1;1;0;0;1;1;0
ENSG00000204140;786;0;1;0;2;0;1;2;4;0
ENSG00000181705;197;0;0;1;0;1;1;0;0;0
ENSG00000276064;98;0;2;9;4;1;3;0;1;0
ENSG00000203877;4172;3;2;3;4;2;3;3;4;1
ENSG00000287789;2635;0;1;2;2;1;3;1;2;0
ENSG00000161912;5804;84;137;96;124;126;147;43;58;12
ENSG00000146192;10166;122;45;26;28;19;75;31;44;85
ENSG00000287485;3435;1;1;2;1;0;1;0;0;0
ENSG00000231762;2285;4;15;17;13;0;19;2;3;11
ENSG00000137193;3030;165;418;309;416;399;482;681;804;493
ENSG00000223534;552;3;0;4;1;0;3;0;1;1
ENSG00000225690;576;0;0;0;0;0;0;0;0;0
ENSG00000083099;8675;840;797;1084;820;1000;948;732;489;457
ENSG00000228679;835;2;0;1;0;3;0;0;0;0
ENSG00000135324;2137;32;95;23;67;58;81;60;177;84
ENSG00000220918;949;0;0;0;0;0;0;0;0;0
ENSG00000218561;401;0;1;1;4;0;1;3;4;2
ENSG00000013375;7478;1103;897;1128;734;714;855;684;630;693
ENSG00000226453;2888;6;7;6;8;3;6;11;2;13
ENSG00000226558;75;0;0;0;0;0;0;0;0;0
ENSG00000112200;16414;1376;1054;1378;1228;1193;1268;1069;973;892
ENSG00000236466;5432;1;2;6;4;1;5;0;4;1
ENSG00000220831;340;0;0;0;0;0;0;0;0;0
ENSG00000215190;2969;118;171;175;129;110;121;86;131;117
ENSG00000217228;508;0;1;0;0;0;0;0;1;0
ENSG00000124614;2302;17;27;19;21;25;27;22;13;11
ENSG00000239650;672;4;12;8;12;12;12;6;4;5
ENSG00000237674;448;3;2;3;1;3;3;0;3;1
ENSG00000271967;543;8;14;18;12;10;17;20;8;11
ENSG00000219757;426;0;0;0;0;0;0;0;0;0
ENSG00000287294;1017;0;0;0;0;0;0;0;1;0
ENSG00000232120;525;0;0;0;0;0;0;0;0;0
ENSG00000219257;865;0;0;0;0;0;0;2;0;0
ENSG00000057657;6750;50;86;102;93;41;48;92;102;71
ENSG00000272325;9900;98;111;104;202;169;200;218;214;209
ENSG00000218732;838;0;0;0;0;0;0;0;0;0
ENSG00000275716;458;0;0;0;0;0;0;0;0;0
ENSG00000261080;1513;1;0;0;0;0;0;0;0;0
ENSG00000170915;5034;483;450;613;467;590;682;526;694;562
